winner_agreement,tolerance_jaccard,worst_regret_gap,certificate_sup_norm_gap,probes_adaptive,probes_full,time_adaptive,time_full,m,geometry,replication,theta
1,1.0,0.0,0.0,4,4,0.0003494580159895122,0.0003382909926585853,2,linear,33,0.6
1,1.0,0.0,0.0,4,4,0.00034600001526996493,0.0003204579697921872,2,linear,33,0.7
1,1.0,0.0,0.0,4,4,0.00033966597402468324,0.00032237498089671135,2,linear,33,0.9
1,1.0,0.0,0.0,4,4,0.0003519999445416033,0.00032329204259440303,2,linear,34,0.3
1,1.0,0.0,0.0,4,4,0.000351125025190413,0.0003225830150768161,2,linear,34,0.5
1,1.0,0.0,0.0,4,4,0.00034270796459168196,0.0003204579697921872,2,linear,34,0.6
1,1.0,0.0,0.0,4,4,0.0003484159824438393,0.0003352499916218221,2,linear,34,0.7
1,1.0,0.0,0.0,4,4,0.00035270798252895474,0.00032470899168401957,2,linear,34,0.9
1,1.0,0.0,0.0,4,4,0.00037700001848861575,0.00032520899549126625,2,linear,35,0.3
1,1.0,0.0,0.0,4,4,0.0003463749890215695,0.00032195798121392727,2,linear,35,0.5
1,1.0,0.0,0.0,4,4,0.00034958304604515433,0.00032341695623472333,2,linear,35,0.6
1,1.0,0.0,0.0,4,4,0.0003486250061541796,0.00032233301317319274,2,linear,35,0.7
1,1.0,0.0,0.0,4,4,0.0003445000038482249,0.00034600001526996493,2,linear,35,0.9
1,1.0,0.0,0.0,4,4,0.0003539170138537884,0.000328624970279634,2,linear,36,0.3
1,1.0,0.0,0.0,4,4,0.0003664999967440963,0.00032175000524148345,2,linear,36,0.5
1,1.0,0.0,0.0,4,4,0.00034612498711794615,0.0003215830074623227,2,linear,36,0.6
1,1.0,0.0,0.0,4,4,0.0003474170225672424,0.0003260420053265989,2,linear,36,0.7
1,1.0,0.0,0.0,4,4,0.0003452079836279154,0.0003222909872420132,2,linear,36,0.9
1,1.0,0.0,0.0,4,4,0.0003570829867385328,0.0003267499851062894,2,linear,37,0.3
1,1.0,0.0,0.0,4,4,0.0003506249631755054,0.0003289159503765404,2,linear,37,0.5
1,1.0,0.0,0.0,4,4,0.00035087496507912874,0.0003250420559197664,2,linear,37,0.6
1,1.0,0.0,0.0,4,4,0.00035083299735561013,0.0003255000337958336,2,linear,37,0.7
1,1.0,0.0,0.0,4,4,0.000346417014952749,0.00032175000524148345,2,linear,37,0.9
1,1.0,0.0,0.0,4,4,0.00035245897015556693,0.00032699998700991273,2,linear,38,0.3
1,1.0,0.0,0.0,4,4,0.0003497920115478337,0.00032370799453929067,2,linear,38,0.5
1,1.0,0.0,0.0,4,4,0.0003505419590510428,0.00032883399398997426,2,linear,38,0.6
1,1.0,0.0,0.0,4,4,0.00035337498411536217,0.0003282079705968499,2,linear,38,0.7
1,1.0,0.0,0.0,4,4,0.00034291704650968313,0.00032237498089671135,2,linear,38,0.9
1,1.0,0.0,0.0,4,4,0.00035008398117497563,0.0003230840084142983,2,linear,39,0.3
1,1.0,0.0,0.0,4,4,0.00034849997609853745,0.0003225830150768161,2,linear,39,0.5
1,1.0,0.0,0.0,4,4,0.000348874949850142,0.000322166015394032,2,linear,39,0.6
1,1.0,0.0,0.0,4,4,0.0003510829992592335,0.0003307919832877815,2,linear,39,0.7
1,1.0,0.0,0.0,4,4,0.00034729199251160026,0.0003202499938197434,2,linear,39,0.9
1,1.0,0.0,0.0,4,4,0.00035637494875118136,0.00034370803041383624,2,linear,40,0.3
1,1.0,0.0,0.0,4,4,0.0003464999608695507,0.0003224170068278909,2,linear,40,0.5
1,1.0,0.0,0.0,4,4,0.0003493339754641056,0.0003215000033378601,2,linear,40,0.6
1,1.0,0.0,0.0,4,4,0.00034787494223564863,0.00032258295686915517,2,linear,40,0.7
1,1.0,0.0,0.0,4,4,0.00034483399940654635,0.0003268750151619315,2,linear,40,0.9
1,1.0,0.0,0.0,4,4,0.00035325001226738095,0.00032304198248311877,2,linear,41,0.3
1,1.0,0.0,0.0,4,4,0.00034816598054021597,0.00034024997148662806,2,linear,41,0.5
1,1.0,0.0,0.0,4,4,0.00034250004682689905,0.0003228330169804394,2,linear,41,0.6
1,1.0,0.0,0.0,4,4,0.0003474999684840441,0.0003221659571863711,2,linear,41,0.7
1,1.0,0.0,0.0,4,4,0.00034974998561665416,0.00032104202546179295,2,linear,41,0.9
1,1.0,0.0,0.0,4,4,0.0003573329886421561,0.00032654101960361004,2,linear,42,0.3
1,1.0,0.0,0.0,4,4,0.0003498750156722963,0.0003215409815311432,2,linear,42,0.5
1,1.0,0.0,0.0,4,4,0.0003475420526228845,0.00033758400240913033,2,linear,42,0.6
